name,taskid,kind,started,resolved,locale
beetmover-checksums-hsb-win64-shippable/opt,BTuFGbAFR62JJI52-jGGeA,beetmover-checksums,2019-06-18 01:31:44.868000+00:00,2019-06-18 01:31:58.862000+00:00,hsb
partials-signing-lv-linux64-shippable/opt,BTxBmLblR1qjpTdAPQT0Gw,partials-signing,2019-06-18 00:27:31.475000+00:00,2019-06-18 00:27:46.493000+00:00,
mar-signing-win64-asan-reporter-nightly/opt,BURkagU-Sc-KAQa-irWksg,mar-signing,2019-06-18 00:40:10.895000+00:00,2019-06-18 00:40:46.649000+00:00,
repackage-signing-msi-pl-win64-shippable/opt,BVMkBsn3SMOkuiLn7BhNZg,repackage-signing-msi,2019-06-18 01:22:14.651000+00:00,2019-06-18 01:22:42.753000+00:00,
balrog-kk-win64-shippable/opt,BWGZTvQATL28VPdwmZtMXA,balrog,2019-06-18 01:39:48.459000+00:00,2019-06-18 01:40:05.733000+00:00,
repackage-signing-l10n-oc-win64-shippable/opt,BWHxU6r2T32AVhVsbpEqTg,repackage-signing-l10n,2019-06-18 01:20:37.334000+00:00,2019-06-18 01:21:56.704000+00:00,
nightly-l10n-signing-win64-aarch64-shippable-10/opt,BWOK6ubzQRql7Jq619HmvA,nightly-l10n-signing,2019-06-18 00:41:56.405000+00:00,2019-06-18 00:52:07.309000+00:00,
partials-signing-fy-NL-linux64-shippable/opt,BWVJvWKiTYK_37YFhNJMPQ,partials-signing,2019-06-18 00:27:20.122000+00:00,2019-06-18 00:27:35.125000+00:00,
repackage-signing-l10n-id-win64-shippable/opt,BWa_clCPRCy8PnCsxR8bgA,repackage-signing-l10n,2019-06-18 01:07:46.323000+00:00,2019-06-18 01:08:20.468000+00:00,
beetmover-checksums-id-win64-aarch64-shippable/opt,BWgKgc-aTBGv8Mw6UWZeGg,beetmover-checksums,2019-06-18 01:25:42.119000+00:00,2019-06-18 01:26:49.688000+00:00,id
beetmover-checksums-es-ES-linux-shippable/opt,BWstzMcuTCywzFZ2CuY__Q,beetmover-checksums,2019-06-18 00:51:44.460000+00:00,2019-06-18 00:51:58.143000+00:00,es-ES
repackage-msi-ar-win32-shippable/opt,BX1kNt5oRDGvvso7lIM4ag,repackage-msi,2019-06-18 01:00:02.997000+00:00,2019-06-18 01:24:40.391000+00:00,
mar-signing-l10n-an-linux64-shippable/opt,BXD5kVdCTa2vWsI6DQDgWQ,mar-signing-l10n,2019-06-18 00:27:53.894000+00:00,2019-06-18 00:28:07.818000+00:00,
nightly-l10n-win64-shippable-9/opt,BXgrI0SCTtGYsbUNC8dbdA,nightly-l10n,2019-06-17 23:49:54.406000+00:00,2019-06-18 00:15:53.062000+00:00,
partials-signing-pl-linux-shippable/opt,BXy5Fg7PQoiHXOwPLK495w,partials-signing,2019-06-18 00:40:27.436000+00:00,2019-06-18 00:40:51.320000+00:00,
repackage-signing-l10n-sv-SE-win64-aarch64-shippable/opt,BYxj-prGSjeLeDJvKNUWfA,repackage-signing-l10n,2019-06-18 01:11:09.291000+00:00,2019-06-18 01:12:04.652000+00:00,
nightly-l10n-macosx64-shippable-7/opt,BZSXHT_HSaiIqF5NpTJzMA,nightly-l10n,2019-06-17 23:09:52.865000+00:00,2019-06-17 23:15:50.524000+00:00,
balrog-ms-win32-shippable/opt,BZXQdVq9Qlmnm2bcsxi2Cg,balrog,2019-06-18 01:16:45.718000+00:00,2019-06-18 01:17:01.813000+00:00,
mar-signing-l10n-km-win64-shippable/opt,BZse83XEST2Hiac2J8U49w,mar-signing-l10n,2019-06-18 01:01:54.083000+00:00,2019-06-18 01:02:05.889000+00:00,
beetmover-checksums-th-win64-aarch64-shippable/opt,B_8f-cRJQmKnhreHYD5k2w,beetmover-checksums,2019-06-18 01:27:32.590000+00:00,2019-06-18 01:27:45.216000+00:00,th
beetmover-checksums-th-linux-shippable/opt,B_HkEb6hTImuXxksRiwIoA,beetmover-checksums,2019-06-18 00:53:25.822000+00:00,2019-06-18 00:53:38.524000+00:00,th
beetmover-checksums-it-win32-shippable/opt,B_giztThT2GIzJTWJ75_6A,beetmover-checksums,2019-06-18 01:13:53.008000+00:00,2019-06-18 01:14:06.784000+00:00,it
repackage-signing-l10n-pa-IN-win64-shippable/opt,Ba3D3kv_T9imDVJA38QgxQ,repackage-signing-l10n,2019-06-18 01:04:19.004000+00:00,2019-06-18 01:04:55.702000+00:00,
repackage-l10n-he-win64-aarch64-shippable/opt,BaSlGvk-S0C__M9du96a0A,repackage-l10n,2019-06-18 00:55:27.487000+00:00,2019-06-18 01:08:12.685000+00:00,
partials-he-macosx64-shippable/opt,Baq5FbatSSC8rV6qZJAqkg,partials,2019-06-17 23:39:41.350000+00:00,2019-06-17 23:45:09.621000+00:00,
beetmover-repackage-ff-win32-shippable/opt,Bb0McFh-TEG31azvH901dQ,beetmover-repackage,2019-06-18 01:36:20.968000+00:00,2019-06-18 01:37:02.320000+00:00,ff
nightly-l10n-win32-shippable-13/opt,BbLh3nk_StSFDsYvkezgpg,nightly-l10n,2019-06-17 23:35:08.448000+00:00,2019-06-18 00:01:51.945000+00:00,
partials-signing-hi-IN-linux64-shippable/opt,BbTkrkuWTo-VcCjG3RTo2Q,partials-signing,2019-06-18 00:24:38.799000+00:00,2019-06-18 00:24:55.232000+00:00,
partials-an-win64-aarch64-shippable/opt,BbqQVTf1TWaveILi8ntWAQ,partials,2019-06-18 01:24:02.819000+00:00,2019-06-18 01:28:13.230000+00:00,
repackage-msi-fi-win32-shippable/opt,BcL2UgQcQbOU1enBVNFSyQ,repackage-msi,2019-06-18 01:04:22.585000+00:00,2019-06-18 01:12:41.645000+00:00,
